256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
-15.0148390783551	-19.5335755703059	-16.1866470160983	-17.8601112932021	-10.1629415060655	-17.3584549538415	-14.6816779980163	-14.8501732570382	-18.1971018112459	-21.2070398474098	-12.8397184618906	-7.48616455024033	-12.6750526405737	-15.5164954177157	-14.0115263996338	-16.1866470160983	-13.1767089799344	-11.6717399618524	-16.8567986144808
-12.8397184618906	-18.5302628915847	-15.183334337377	-17.8601112932021	-9.15962882734416	-17.3584549538415	-13.5098700602731	-12.8397184618906	-16.5236375341421	-17.5269502128634	-11.1700836224918	-5.9811955321584	-11.5032447028305	-14.3485169176776	-12.6750526405737	-14.8501732570382	-11.3347494438086	-10.1629415060655	-15.183334337377
-18.3617676325627	-22.0418572671092	-18.8634239719234	-18.028606552224	-12.8397184618906	-18.1971018112459	-17.6916160341802	-20.0352319096666	-21.8771914457923	-29.7390270542458	-16.5236375341421	-11.0015883634699	-15.0148390783551	-18.028606552224	-17.0252938735027	-19.365080311284	-17.3584549538415	-15.183334337377	-20.7053835080491
26.8026206607156	18.7722897932403	15.0922001586938	24.1258437048905	22.4523794277867	18.4391287129015	19.9440977309834	3.88343599603265	9.40165572899976	-26.3920985000381	17.0988255161364	21.950723088426	29.146236536202	20.614249329366	12.7485842832074	13.7518969619288	11.4121105241474	16.9303302571145	15.4253612390326
33.3279825101091	24.2943389639124	17.2673207751583	20.2772588113222	28.6445801968414	18.1021381948577	25.6308127229725	9.40165572899976	12.4154232028687	-17.6916160341802	23.6241873655299	26.6341254016937	18.9407850522621	26.4694595803769	15.4253612390326	18.6037945342184	17.6004818554971	22.7893699458305	21.950723088426
21.950723088426	17.6004818554971	5.72156609445334	4.71825341573206	20.2772588113222	16.0955128374151	18.9407850522621	3.54644547798885	4.2165970763714	-21.3755351064317	13.9203922209506	19.7756024719615	13.5872311406119	17.768977114519	8.89999938963912	10.9104541847868	13.0855748012512	15.9270175783932	13.5872311406119
20.4457540703441	13.2502406225681	5.38840501411458	12.2469279438468	16.9303302571145	16.0955128374151	15.2568659800107	1.20665904020753	0.869668522163735	-19.2004144899672	12.0784326848249	18.4391287129015	17.6004818554971	11.9137668635081	7.72819145189594	5.2199097550927	10.4049684077211	13.0855748012512	10.0718073273823
10.573463666743	8.39834305027848	3.88343599603265	16.264008096437	12.4154232028687	6.72487877317464	10.2403025864042	-3.30441857633326	-3.47291383535516	-21.0385445883879	7.22653511253527	12.7485842832074	13.9203922209506	8.39834305027848	4.38509233539331	-1.12929795986878	4.88674867475395	9.06849464866103	5.05141449607079
8.89999938963912	5.38840501411458	-1.29779321889067	9.23698990768291	4.04810181734952	3.88343599603265	6.72487877317464	-6.31818605020219	-5.81270027313649	-20.7053835080491	1.03816378118563	9.06849464866103	6.89337403219655	5.2199097550927	1.20665904020753	-4.47622651407644	1.53982012054627	4.38509233539331	0.0348511024643301
5.72156609445334	1.37132486152437	-6.81984238956282	0.199516923781189	-2.97125749599451	-3.637579656672	2.04147645990692	-8.99496300602732	-9.49661934538796	-20.3683929900053	-4.1430654337377	5.72156609445334	0.0348511024643301	-7.48616455024033	-3.13592331731137	-9.15962882734416	-1.79944955825131	0.0348511024643301	-5.14637811245899
