256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
1.87298120088502	-4.30773125505455	-17.0252938735027	-14.6816779980163	-3.97457017471579	-8.99496300602732	-3.13592331731137	-12.0049010421912	-14.1800216586557	-19.8667366506447	-4.30773125505455	2.71162805828946	-2.80276223697261	-9.82978042572671	-7.65465980926223	-13.1767089799344	-3.47291383535516	-3.13592331731137	-9.32812408636606
-3.47291383535516	-9.32812408636606	-21.7086961867704	-12.5065573815518	-12.0049010421912	-7.82315506828412	-8.32481140764477	-16.5236375341421	-18.5302628915847	-20.873878767071	-9.82978042572671	-2.63426697795072	-6.81984238956282	-13.1767089799344	-11.6717399618524	-18.1971018112459	-7.48616455024033	-8.82646774700542	-15.0148390783551
-9.49661934538796	-13.1767089799344	-19.2004144899672	-3.30441857633326	-9.49661934538796	-9.15962882734416	-12.6750526405737	-18.6987581506066	-21.3755351064317	-20.7053835080491	-12.8397184618906	-6.48285187151903	-11.8364057831693	-16.8567986144808	-13.678365319295	-21.5402009277485	-11.3347494438086	-12.3380621225299	-19.7020708293278
-15.6849906767376	-14.0115263996338	-24.2169778835737	-11.0015883634699	-17.1899596948196	-16.1866470160983	-15.6849906767376	-20.2037271686885	-24.5539684016175	-20.3683929900053	-16.1866470160983	-7.48616455024033	-13.0082137209125	-21.7086961867704	-15.0148390783551	-23.715321544213	-13.0082137209125	-13.5098700602731	-23.5506557228962
-20.5368882490272	-18.1971018112459	-24.0523120622568	-17.5269502128634	-23.5506557228962	-23.5506557228962	-18.8634239719234	-21.3755351064317	-26.7290890180819	-20.873878767071	-18.8634239719234	-9.99827568474861	-14.6816779980163	-20.7053835080491	-17.1899596948196	-23.8838168032349	-14.1800216586557	-16.0219811947814	-22.7120088654917
-12.3380621225299	-18.3617676325627	-33.756107206836	-28.4025532951858	-18.1971018112459	-23.0489993835355	-19.365080311284	-20.873878767071	-28.2340580361639	-19.7020708293278	-21.8771914457923	-11.0015883634699	-16.0219811947814	-22.5435136064698	-18.6987581506066	-24.3854731425956	-13.3452042389563	-17.1899596948196	-23.5506557228962
-13.1767089799344	-19.0319192309453	-30.5776739116503	-24.3854731425956	-20.2037271686885	-24.7186342229343	-21.3755351064317	-22.0418572671092	-30.2406833936065	-20.7053835080491	-25.220290562295	-12.8397184618906	-16.8567986144808	-16.3551422751202	-19.365080311284	-26.3920985000381	-13.5098700602731	-20.7053835080491	-24.2169778835737
-17.0252938735027	-21.8771914457923	-18.1971018112459	-14.5131827389944	-24.2169778835737	-25.7257763393606	-23.715321544213	-23.3821604638743	-32.5842992690929	-20.7053835080491	-25.220290562295	-15.6849906767376	-16.0219811947814	-23.2136652048524	-20.2037271686885	-29.7390270542458	-15.8534859357595	-22.7120088654917	-28.7357143755245
-19.8667366506447	-26.2274326787213	-25.5572810803388	-24.2169778835737	-26.8937548393988	-26.7290890180819	-25.8904421606775	-24.0523120622568	-35.261076224918	-19.8667366506447	-28.2340580361639	-18.028606552224	-22.0418572671092	-26.8937548393988	-21.3755351064317	-31.4124913313497	-17.0252938735027	-24.3854731425956	-31.5809865903716
-21.5402009277485	-29.0688754558633	-26.7290890180819	-27.5639064377813	-28.2340580361639	-30.4091786526284	-28.4025532951858	-26.7290890180819	-39.611317457847	-20.3683929900053	-31.7456524116884	-20.873878767071	-27.0622500984207	-26.3920985000381	-25.3887858213169	-33.5876119478141	-17.8601112932021	-27.2307453574426	-31.7456524116884
-22.7120088654917	-32.2473087510491	-32.5842992690929	-40.6146301365682	-30.0760175722896	-37.2677015823606	-30.5776739116503	-27.9008969558251	-44.2947197711147	-20.3683929900053	-34.5909246265354	-23.715321544213	-34.0892682871748	-32.2473087510491	-28.9042096345464	-38.2710142610819	-18.3617676325627	-30.4091786526284	-37.6046921004044
-26.3920985000381	-36.0958936446174	-32.9174603494316	-46.9714967269398	-29.5705317952239	-37.2677015823606	-33.4191166887922	-29.4058659739071	-48.3117999237049	-20.5368882490272	-37.2677015823606	-26.7290890180819	-32.0826429297322	-34.5909246265354	-30.910834991989	-42.6212554940108	-20.2037271686885	-34.4224293675135	-40.7831253955901
-28.4025532951858	-37.2677015823606	-28.2340580361639	-31.2439960723278	-33.5876119478141	-37.7693579217212	-35.0925809658961	-29.7390270542458	-49.1466173434043	-19.7020708293278	-38.2710142610819	-26.0589374196994	-29.5705317952239	-37.9378531807431	-30.7423397329671	-45.4665277088579	-22.378847785153	-34.4224293675135	-42.1195991546502
-32.2473087510491	-36.2643889036393	-27.3954111787594	-31.7456524116884	-33.756107206836	-38.9411658594644	-35.4295714839399	-29.7390270542458	-49.1466173434043	-20.0352319096666	-39.4428221988251	-28.4025532951858	-21.3755351064317	-39.9444785381857	-32.2473087510491	-46.8068309056229	-23.8838168032349	-37.0992063233387	-45.1333666285191
-31.5809865903716	-37.2677015823606	-30.7423397329671	-41.2847817349508	-29.4058659739071	-34.7594198855573	-36.4328841626612	-30.4091786526284	-49.9852642008087	-20.7053835080491	-37.6046921004044	-29.4058659739071	-42.2880944136721	-42.6212554940108	-34.0892682871748	-47.9748094056611	-25.5572810803388	-37.9378531807431	-46.9714967269398
