64 10
"Fp2_F4"	"F4_C4"	"C4_P4"	"P4_O2"	"Fp1_F3"	"F3_C3"	"C3_P3"	"P3_O1"	"Fp2_F8"	"F8_T4"	"T4_T6"	"T6_O2"	"Fp1_F7"	"F7_T3"	"T3_T5"	"T5_O1"	"Fz_Cz"	"Cz_Pz"
-4.61809212843744	6.60630817500844	-2.70501170112315	-6.13193804536781	2.66970100405178	6.75101879845362	-9.44894493957461	-10.6514346082196	-1.92576054691901	2.15160069366618	-5.97367203595061	-1.10090181071652	-2.58427389343455	3.57770477081252	-3.16684920087042	-8.50624142179636	38.8811495797002	-38.9082976609678
-4.24676901124114	8.86303949649248	-1.39934375454627	-8.88243830897624	6.11771458804536	5.0061434110529	-10.2967307368658	-11.0169051876499	-3.43315162113151	2.44949868662105	2.26814988205832	-6.95000852581904	2.01462561929955	0.310097776003204	-3.70934685775165	-8.8051544629686	42.4538403305708	-46.680911979188
-6.03831173469418	13.024424125089	-2.09859059472787	-13.5168619577755	3.94308942124831	4.48500188474608	-7.78717795110068	-10.6865645984959	-2.02751864772571	2.39878168990209	-0.600685705191715	-8.39991749909319	-0.972194538481467	3.34914266247178	-3.24999174740394	-9.17260762018857	47.3875505116748	-50.8594129423083
-1.99809292098758	13.7634018143877	-3.3717044524508	-15.102521364263	-3.80806661058732	3.37742809028558	-2.66133219827014	-8.25382894944165	-1.72225799961745	5.43195011355685	-3.08592443428268	-7.33268460297035	-3.91605830801856	1.08225744567497	-1.03093994691363	-7.48105885875631	40.3029479952994	-41.4722279964905
-3.27467264442762	16.9241778692289	-3.47092523254958	-14.9340591723193	-4.3179771930422	-0.500570561637939	-0.651924474664266	-4.27294542535364	-3.57871942701728	8.10385462122787	-2.10972213873709	-7.17089223554109	-0.763092418888835	-0.397938128024759	-3.43360087155782	-5.14878623622663	24.3192317465294	-25.1115204864288
-1.75670153340073	12.8188960655932	-4.150025536109	-10.9569729660448	-1.14521765518496	-3.60949723349566	-0.854443210240625	-0.946945780233818	-2.74543086846282	5.69693946012643	-0.995554485667242	-6.00075807595766	1.34490613130875	-3.20039096914788	-1.69657533926973	-3.0040437020462	16.2726284149608	-18.3710366469204
-1.40097832047756	5.52804096050054	-5.44404221528623	-9.49417039827724	-4.54264964746317	-1.34818556807662	-4.97155745824684	-2.90513339818402	-4.30942965614903	0.869307435884298	-3.89419686178354	-3.47683089149222	3.52956680334114	-4.20193438154411	-7.53205783468774	-5.56310065907995	9.61348903013259	-19.521927867469
1.17689714843537	2.42927358587015	-3.30067086360729	-10.3502725450387	-4.29833292108021	-1.11178241478265	-5.10420769363827	-4.60606419151668	-2.07845035979547	2.1892047356162	-4.2179976810349	-5.93752936912635	-1.36557048850119	1.67011313441052	-10.4800403734373	-4.94488949348989	2.10346155282247	-14.1150634394801
1.45817322827705	2.01075784715918	0.85162805058915	-11.1281818762747	-0.271647105873841	1.82708293138691	-3.81069991596964	-3.89128430487991	-2.08458144515237	3.88745922867694	-3.48210899289322	-5.12839154088067	2.04167969505838	-0.62935079573023	-5.44425279612062	-2.11462449854402	-3.44341870635123	-3.05160978645907
0.630784906265357	2.42693072900804	0.802557533446959	-8.21188024354402	3.04236129530908	4.15231505878088	-0.500467494558979	-3.87085528469684	-2.07113867192177	1.930722879825	-3.70711531527004	-0.504075967456851	1.83694947997931	3.98362373913662	-2.59314694479834	-0.404072699483447	-4.3197469248486	1.23373158680613
